,Anger,Disgust,Fear,Happy,Neutral,Sad,Surprise,,,
Anger,348,5,106,143,131,193,32,,,
Disgust,20,27,19,12,6,25,2,,,
Fear,95,0,326,140,118,228,117,,,
Happy,56,0,61,1378,102,144,33,,,
Neutral,59,6,112,200,524,306,26,,,
Sad,95,2,127,245,207,545,26,,,
Surprise,30,0,93,79,45,41,543,,,
,0.363256785,0.243243243,0.318359375,0.776775648,0.424979724,0.437048917,0.653429603,,Medie:,0.514210086
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10.550615549087524s  Total sau  0.0014698544927678357s per imagine,,,,,,,,,,
